startTimeStep 1stPedId 2ndPedId durationTimesteps-PID5 xPath-PID5 yPath-PID5
1 3 88 2 35.32390111896418 18.25204936900524
- - - - 35.32390111896418 18.25204936900524
1 4 89 2 48.87467150329843 5.8497956127474
- - - - 48.87467150329843 5.8497956127474
1 6 39 3 57.514083087914244 17.86921816657784
- - - - 57.514083087914244 17.86921816657784
- - - - 56.843626138288435 17.90972610977306
1 6 41 2 57.90568054921224 18.241145988032883
- - - - 57.90568054921224 18.241145988032883
1 8 33 2 48.526643870107584 1.426541521600797
- - - - 48.526643870107584 1.426541521600797
1 8 51 2 47.8429716877537 1.6861081880426592
- - - - 47.8429716877537 1.6861081880426592
1 8 79 2 47.33208019974848 1.9297996855302082
- - - - 47.33208019974848 1.9297996855302082
1 9 19 2 52.720331490455735 15.794096122218736
- - - - 52.720331490455735 15.794096122218736
1 9 65 2 52.899738545354325 15.510262172164197
- - - - 52.899738545354325 15.510262172164197
1 10 32 2 42.16707048458701 5.9230296089316
- - - - 42.16707048458701 5.9230296089316
1 10 74 2 42.400755446941105 6.812723630556915
- - - - 42.400755446941105 6.812723630556915
1 12 57 2 51.60490634057687 2.850907443886218
- - - - 51.60490634057687 2.850907443886218
1 12 86 2 50.71771710682329 2.7057296986984873
- - - - 50.71771710682329 2.7057296986984873
1 13 17 2 51.16497569630646 7.047278302072362
- - - - 51.16497569630646 7.047278302072362
1 15 17 2 51.9950505230789 6.839849362708362
- - - - 51.9950505230789 6.839849362708362
1 15 62 2 52.16432617084457 5.787516609234473
- - - - 52.16432617084457 5.787516609234473
1 17 69 2 51.51662891072552 7.86867561266867
- - - - 51.51662891072552 7.86867561266867
1 18 67 2 48.21199577020829 13.222101721353683
- - - - 48.21199577020829 13.222101721353683
1 19 65 2 52.711474393140094 16.014596426766893
- - - - 52.711474393140094 16.014596426766893
1 20 94 2 39.98181265417574 15.8671171029729
- - - - 39.98181265417574 15.8671171029729
1 21 55 2 47.75994803392294 9.271491781650568
